member_name,size_bytes,type
GSM6603110_COR-7349-D1_filtered_feature_bc_matrix.h5,10835832,file
GSM6603111_COR-7349-D2_filtered_feature_bc_matrix.h5,9977511,file
GSM6603112_COR-6215-D2_filtered_feature_bc_matrix.h5,11565895,file
GSM6603113_COR-6215-D1_filtered_feature_bc_matrix.h5,11163033,file
GSM6603114_COR-3717-D2_filtered_feature_bc_matrix.h5,10837645,file
GSM6603115_COR-3717-D1_filtered_feature_bc_matrix.h5,10890435,file
GSM6603116_COR-1126-D1_filtered_feature_bc_matrix.h5,15159447,file
GSM6603117_COR-1126-D2_filtered_feature_bc_matrix.h5,13296320,file
GSM6603118_COR-8330-D1_filtered_feature_bc_matrix.h5,12357546,file
GSM6603119_COR-8330-D2_filtered_feature_bc_matrix.h5,8538725,file
GSM6603120_COR-8763-D2_filtered_feature_bc_matrix.h5,9756379,file
GSM6603121_COR-8763-D1_filtered_feature_bc_matrix.h5,11392240,file
GSM6603122_COR-8843-D2_filtered_feature_bc_matrix.h5,15365942,file
GSM6603123_COR-8843-D1_filtered_feature_bc_matrix.h5,13513067,file
GSM6603124_COR-9546-D1_filtered_feature_bc_matrix.h5,9278784,file
GSM6603125_COR-9546-D2_filtered_feature_bc_matrix.h5,8349241,file
GSM6603126_COR-5723-D1_filtered_feature_bc_matrix.h5,12593441,file
GSM6603127_COR-5723-D2_filtered_feature_bc_matrix.h5,14367553,file
GSM6603128_COR-1481-D2_filtered_feature_bc_matrix.h5,13011293,file
GSM6603129_COR-1481-D1_filtered_feature_bc_matrix.h5,12753001,file
GSM6603130_COR-5218-D2_filtered_feature_bc_matrix.h5,10907160,file
GSM6603131_COR-5218-D1_filtered_feature_bc_matrix.h5,3366814,file
GSM6603132_COR-8468-D2_filtered_feature_bc_matrix.h5,9014107,file
GSM6603133_COR-8468-D1_filtered_feature_bc_matrix.h5,12020466,file
GSM6603134_COR-6302-D1_filtered_feature_bc_matrix.h5,8793698,file
GSM6603135_COR-6302-D2_filtered_feature_bc_matrix.h5,11541061,file
GSM6603136_COR-9198-D2_filtered_feature_bc_matrix.h5,11949938,file
GSM6603137_COR-9198-D1_filtered_feature_bc_matrix.h5,11563385,file
GSM6603138_COR-7256-D1_filtered_feature_bc_matrix.h5,12609736,file
GSM6603139_COR-7256-D2_filtered_feature_bc_matrix.h5,11407831,file
GSM6603140_COR-3195-D1_filtered_feature_bc_matrix.h5,11733634,file
GSM6603141_COR-3195-D2_filtered_feature_bc_matrix.h5,10450931,file
GSM6603142_COR-6176-D1_filtered_feature_bc_matrix.h5,10796345,file
GSM6603143_COR-6176-D2_filtered_feature_bc_matrix.h5,10561681,file
GSM6603144_COR-9818-D2_filtered_feature_bc_matrix.h5,11814178,file
GSM6603145_COR-9818-D1_filtered_feature_bc_matrix.h5,13825958,file
GSM6603146_COR-2465-D1_filtered_feature_bc_matrix.h5,5312572,file
GSM6603147_COR-2465-D2_filtered_feature_bc_matrix.h5,5368029,file
GSM6603148_COR-7414-D2_filtered_feature_bc_matrix.h5,10176993,file
GSM6603149_COR-7414-D1_filtered_feature_bc_matrix.h5,11074108,file
GSM6603150_COR-2674-D1_filtered_feature_bc_matrix.h5,8026347,file
GSM6603151_COR-2674-D2_filtered_feature_bc_matrix.h5,8128127,file
GSM6603152_COR-8066-D1_filtered_feature_bc_matrix.h5,8443436,file
GSM6603153_COR-8066-D2_filtered_feature_bc_matrix.h5,8036476,file
GSM6603154_COR-6685-D1_filtered_feature_bc_matrix.h5,10857112,file
GSM6603155_COR-6685-D2_filtered_feature_bc_matrix.h5,10206632,file
GSM6603156_COR-4856-D1_filtered_feature_bc_matrix.h5,10622365,file
GSM6603157_COR-4856-D2_filtered_feature_bc_matrix.h5,13412492,file
GSM6603158_COR-1203-D1_filtered_feature_bc_matrix.h5,15576265,file
GSM6603159_COR-1203-D2_filtered_feature_bc_matrix.h5,11662338,file
GSM6603160_COR-7101-D1_filtered_feature_bc_matrix.h5,10989900,file
GSM6603161_COR-7101-D2_filtered_feature_bc_matrix.h5,8770174,file
GSM6603162_COR-5623-D1_filtered_feature_bc_matrix.h5,12326200,file
GSM6603163_COR-5623-D2_filtered_feature_bc_matrix.h5,13345274,file
GSM6603164_COR-4181-D1_filtered_feature_bc_matrix.h5,10325106,file
GSM6603165_COR-4181-D2_filtered_feature_bc_matrix.h5,11102006,file
GSM6603166_COR-3427-D1_filtered_feature_bc_matrix.h5,14563065,file
GSM6603167_COR-3427-D2_filtered_feature_bc_matrix.h5,13437825,file
GSM6603168_COR-3315-D1_filtered_feature_bc_matrix.h5,12136169,file
GSM6603169_COR-3315-D2_filtered_feature_bc_matrix.h5,11464008,file
GSM6603170_COR-5878-D1_filtered_feature_bc_matrix.h5,11393116,file
GSM6603171_COR-5878-D2_filtered_feature_bc_matrix.h5,12010158,file
GSM6603172_COR-5554-D1_filtered_feature_bc_matrix.h5,7835209,file
GSM6603173_COR-5554-D2_filtered_feature_bc_matrix.h5,12581352,file
GSM6603174_COR-5136-D2_filtered_feature_bc_matrix.h5,14169992,file
GSM6603175_COR-5136-D1_filtered_feature_bc_matrix.h5,12139873,file
GSM6603176_COR-3985-D1_filtered_feature_bc_matrix.h5,12006854,file
GSM6603177_COR-3985-D2_filtered_feature_bc_matrix.h5,13406525,file
GSM6603178_COR-1002-D1_filtered_feature_bc_matrix.h5,12599923,file
GSM6603179_COR-1002-D2_filtered_feature_bc_matrix.h5,10664512,file
GSM6603180_COR-6913-D1_filtered_feature_bc_matrix.h5,13104388,file
GSM6603181_COR-6913-D2_filtered_feature_bc_matrix.h5,12054220,file
GSM6603182_COR-5087-D1_filtered_feature_bc_matrix.h5,7656099,file
GSM6603183_COR-5087-D2_filtered_feature_bc_matrix.h5,10889860,file
GSM6603184_COR-4616-D1_filtered_feature_bc_matrix.h5,11106640,file
GSM6603185_COR-4616-D2_filtered_feature_bc_matrix.h5,9605381,file
GSM6603186_COR-5429-D1_filtered_feature_bc_matrix.h5,10841599,file
GSM6603187_COR-5429-D2_filtered_feature_bc_matrix.h5,10746386,file
GSM6603188_COR-6308-D1_filtered_feature_bc_matrix.h5,10011205,file
GSM6603189_COR-6308-D2_filtered_feature_bc_matrix.h5,10130679,file
GSM6603190_COR-9348-D1_filtered_feature_bc_matrix.h5,9692791,file
GSM6603191_COR-9348-D2_filtered_feature_bc_matrix.h5,10709154,file
GSM6603192_COR-4994-D1_filtered_feature_bc_matrix.h5,13155050,file
GSM6603193_COR-4994-D2_filtered_feature_bc_matrix.h5,13006653,file
GSM6603194_COR-8852-D1_filtered_feature_bc_matrix.h5,12985698,file
GSM6603195_COR-8852-D2_filtered_feature_bc_matrix.h5,10005548,file
GSM6603196_COR-3309-D1_filtered_feature_bc_matrix.h5,9836179,file
GSM6603197_COR-3309-D2_filtered_feature_bc_matrix.h5,13700528,file
GSM6603198_COR-8111-D1_filtered_feature_bc_matrix.h5,11711851,file
GSM6603199_COR-8111-D2_filtered_feature_bc_matrix.h5,10200978,file
GSM6603200_COR-9643-D1_filtered_feature_bc_matrix.h5,11176028,file
GSM6603201_COR-9643-D2_filtered_feature_bc_matrix.h5,14701956,file
GSM6603202_COR-8625-D1_filtered_feature_bc_matrix.h5,8639079,file
GSM6603203_COR-8625-D2_filtered_feature_bc_matrix.h5,7029928,file
GSM6603204_COR-3722-D1_filtered_feature_bc_matrix.h5,10555644,file
GSM6603205_COR-3722-D2_filtered_feature_bc_matrix.h5,12095728,file
GSM6603206_COR-4271-D1_filtered_feature_bc_matrix.h5,14242741,file
GSM6603207_COR-4271-D2_filtered_feature_bc_matrix.h5,14908634,file
GSM6603208_COR-5797-D1_filtered_feature_bc_matrix.h5,13012713,file
GSM6603209_COR-5797-D2_filtered_feature_bc_matrix.h5,15398369,file
GSM6603210_COR-7717-D1_filtered_feature_bc_matrix.h5,13180701,file
GSM6603211_COR-7717-D2_filtered_feature_bc_matrix.h5,10555617,file
GSM6603212_COR-6711-D1_filtered_feature_bc_matrix.h5,11786205,file
GSM6603213_COR-6711-D2_filtered_feature_bc_matrix.h5,10429581,file
GSM6603214_COR-1141-D1_filtered_feature_bc_matrix.h5,12218588,file
GSM6603215_COR-1141-D2_filtered_feature_bc_matrix.h5,9520703,file
GSM6603216_COR-4617-D1_filtered_feature_bc_matrix.h5,11828142,file
GSM6603217_COR-4617-D2_filtered_feature_bc_matrix.h5,10443209,file
GSM6603218_COR-9868-D1_filtered_feature_bc_matrix.h5,11084805,file
GSM6603219_COR-9868-D2_filtered_feature_bc_matrix.h5,14053650,file
GSM6603220_COR-4209-D1_filtered_feature_bc_matrix.h5,10051100,file
GSM6603221_COR-4209-D2_filtered_feature_bc_matrix.h5,10706774,file
GSM6603222_COR-9633-D1_filtered_feature_bc_matrix.h5,11825822,file
GSM6603223_COR-9633-D2_filtered_feature_bc_matrix.h5,12219586,file
GSM6603224_COR-5449-D1_filtered_feature_bc_matrix.h5,11646822,file
GSM6603225_COR-5449-D2_filtered_feature_bc_matrix.h5,11670393,file
