archive_member,rows_before,exact_duplicate_rows_removed,nonidentical_duplicate_key_rows_aggregated,rows_after
GSM7989349_Walitt101.txt.gz,18394,25,0,18369
GSM7989350_Walitt112.txt.gz,18394,23,4,18369
GSM7989351_Walitt113.txt.gz,18394,24,2,18369
GSM7989352_Walitt115.txt.gz,18394,24,2,18369
GSM7989353_Walitt117.txt.gz,18394,24,2,18369
GSM7989354_Walitt119.txt.gz,18394,24,2,18369
GSM7989355_Walitt120.txt.gz,18394,23,4,18369
GSM7989356_Walitt121.txt.gz,18394,24,2,18369
GSM7989357_Walitt302.txt.gz,18394,23,4,18369
GSM7989358_Walitt305.txt.gz,18394,23,4,18369
GSM7989359_Walitt310.txt.gz,18394,24,2,18369
GSM7989360_Walitt311.txt.gz,18394,25,0,18369
GSM7989361_Walitt312.txt.gz,18394,24,2,18369
GSM7989362_Walitt313.txt.gz,18394,24,2,18369
GSM7989363_Walitt316.txt.gz,18394,23,4,18369
GSM7989364_Walitt319.txt.gz,18394,23,4,18369
GSM7989365_Walitt322.txt.gz,18394,23,4,18369
GSM8073643_Walitt103.txt.gz,18394,23,4,18369
GSM8073644_Walitt104.txt.gz,18394,25,0,18369
GSM8073645_Walitt106.txt.gz,18394,23,4,18369
GSM8073646_Walitt108.txt.gz,18394,24,2,18369
GSM8073647_Walitt109.txt.gz,18394,25,0,18369
GSM8073648_Walitt111.txt.gz,18394,25,0,18369
GSM8073649_Walitt116.txt.gz,18394,23,4,18369
GSM8073650_Walitt308.txt.gz,18394,21,8,18369
GSM8073651_Walitt321.txt.gz,18394,24,2,18369
GSM8127667_Walitt315.txt.gz,18394,23,4,18369
