member_name,size_bytes,compressed_size_bytes,crc32,type
DTI_Data_sharing/Demographics.xlsx,51037,43022,4fd12294,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/,0,0,00000000,directory
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_003/,0,0,00000000,directory
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_003/DTI_AD.nii.gz,645572,642273,7a7ed23e,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_003/DTI_FA.nii.gz,671332,668179,5d6f7c49,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_003/DTI_MD.nii.gz,662671,659384,1264a3f9,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_003/DTI_RD.nii.gz,668208,664953,b95de364,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_004/,0,0,00000000,directory
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_004/DTI_AD.nii.gz,711447,708644,99598071,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_004/DTI_FA.nii.gz,740062,737372,fdb726b5,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_004/DTI_MD.nii.gz,728370,725347,08b13b0a,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_004/DTI_RD.nii.gz,734713,732016,14e95e54,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_005/,0,0,00000000,directory
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_005/DTI_AD.nii.gz,722595,719602,a83e6537,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_005/DTI_FA.nii.gz,751927,749032,c5f494e8,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_005/DTI_MD.nii.gz,736499,733361,3ea62603,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_005/DTI_RD.nii.gz,747416,744541,239895f3,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_010/,0,0,00000000,directory
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_010/DTI_AD.nii.gz,712956,709915,84d8151e,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_010/DTI_FA.nii.gz,742366,739449,013b582e,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_010/DTI_MD.nii.gz,728526,725306,cea891c9,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_010/DTI_RD.nii.gz,737292,734372,9be0e41a,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_013/,0,0,00000000,directory
