member_name,size_bytes,compressed_size_bytes,crc32,type
Demographics.xlsx,23666,21029,1cb607b0,file
NII_Data_sharing_MECFS/CFS_003/,0,0,00000000,directory
NII_Data_sharing_MECFS/CFS_003/DTI_AD.nii.gz,645572,642273,7a7ed23e,file
NII_Data_sharing_MECFS/CFS_003/DTI_FA.nii.gz,671332,668179,5d6f7c49,file
NII_Data_sharing_MECFS/CFS_003/DTI_MD.nii.gz,662671,659384,1264a3f9,file
NII_Data_sharing_MECFS/CFS_003/DTI_RD.nii.gz,668208,664953,b95de364,file
NII_Data_sharing_MECFS/CFS_003/NII_AD.nii,3743200,665100,5031d325,file
NII_Data_sharing_MECFS/CFS_003/NII_FA.nii,3743200,678161,9548f1c2,file
NII_Data_sharing_MECFS/CFS_003/NII_FF.nii,3743200,671272,3c85acd0,file
NII_Data_sharing_MECFS/CFS_003/NII_HR.nii,3743200,667991,f419af77,file
NII_Data_sharing_MECFS/CFS_003/NII_MD.nii,3743200,671605,9ab55161,file
NII_Data_sharing_MECFS/CFS_003/NII_RD.nii,3743200,679504,d39e347c,file
NII_Data_sharing_MECFS/CFS_003/NII_RF.nii,3743200,670778,2af64734,file
NII_Data_sharing_MECFS/CFS_004/,0,0,00000000,directory
NII_Data_sharing_MECFS/CFS_004/DTI_AD.nii.gz,711447,708644,99598071,file
NII_Data_sharing_MECFS/CFS_004/DTI_FA.nii.gz,740062,737372,fdb726b5,file
NII_Data_sharing_MECFS/CFS_004/DTI_MD.nii.gz,728370,725347,08b13b0a,file
NII_Data_sharing_MECFS/CFS_004/DTI_RD.nii.gz,734713,732016,14e95e54,file
NII_Data_sharing_MECFS/CFS_004/NII_AD.nii,3743200,737703,012581d3,file
NII_Data_sharing_MECFS/CFS_004/NII_FA.nii,3743200,750845,4d58accf,file
NII_Data_sharing_MECFS/CFS_004/NII_FF.nii,3743200,745648,07ca94cf,file
NII_Data_sharing_MECFS/CFS_004/NII_HR.nii,3743200,742404,a629fb2a,file
NII_Data_sharing_MECFS/CFS_004/NII_MD.nii,3743200,745733,8caf387a,file
NII_Data_sharing_MECFS/CFS_004/NII_RD.nii,3743200,753843,0fa93824,file
NII_Data_sharing_MECFS/CFS_004/NII_RF.nii,3743200,744446,085185ce,file
NII_Data_sharing_MECFS/CFS_005/,0,0,00000000,directory
NII_Data_sharing_MECFS/CFS_005/DTI_AD.nii.gz,722595,719602,a83e6537,file
NII_Data_sharing_MECFS/CFS_005/DTI_FA.nii.gz,751927,749032,c5f494e8,file
NII_Data_sharing_MECFS/CFS_005/DTI_MD.nii.gz,736499,733361,3ea62603,file
NII_Data_sharing_MECFS/CFS_005/DTI_RD.nii.gz,747416,744541,239895f3,file
NII_Data_sharing_MECFS/CFS_005/NII_AD.nii,3743200,746919,a68de002,file
NII_Data_sharing_MECFS/CFS_005/NII_FA.nii,3743200,762810,af40bb5f,file
NII_Data_sharing_MECFS/CFS_005/NII_FF.nii,3743200,754717,844e6a98,file
