harmonized_path,transformation,originals_modified,created_on
datasets/harmonized/GSE214284_archive_inventory.csv,archive inventory,no,2026-07-21
datasets/harmonized/GSE214284_sample_metadata.csv,sample/assay/measurement table,no,2026-07-21
datasets/harmonized/GSE245661_archive_inventory.csv,archive inventory,no,2026-07-21
datasets/harmonized/GSE245661_counts_wide.csv.gz,sample/assay/measurement table,no,2026-07-21
datasets/harmonized/GSE245661_duplicate_row_log.csv,sample/assay/measurement table,no,2026-07-21
datasets/harmonized/GSE245661_sample_metadata.csv,sample/assay/measurement table,no,2026-07-21
datasets/harmonized/GSE251790_CSF_SOMAscan_adat_header.csv,sample/assay/measurement table,no,2026-07-21
datasets/harmonized/GSE251790_CSF_SOMAscan_assay_metadata.csv,sample/assay/measurement table,no,2026-07-21
datasets/harmonized/GSE251790_CSF_SOMAscan_geo_sample_metadata.csv,sample/assay/measurement table,no,2026-07-21
datasets/harmonized/GSE251790_CSF_SOMAscan_measurements_wide.csv.gz,sample/assay/measurement table,no,2026-07-21
datasets/harmonized/GSE251790_CSF_SOMAscan_sample_metadata.csv,sample/assay/measurement table,no,2026-07-21
datasets/harmonized/GSE251792_archive_inventory.csv,archive inventory,no,2026-07-21
datasets/harmonized/GSE251792_sample_metadata.csv,sample/assay/measurement table,no,2026-07-21
datasets/harmonized/GSE251872_archive_inventory.csv,archive inventory,no,2026-07-21
datasets/harmonized/GSE251872_counts_wide.csv.gz,sample/assay/measurement table,no,2026-07-21
datasets/harmonized/GSE251872_duplicate_row_log.csv,sample/assay/measurement table,no,2026-07-21
datasets/harmonized/GSE251872_sample_metadata.csv,sample/assay/measurement table,no,2026-07-21
datasets/harmonized/GSE254030_plasma_SOMAscan_adat_header.csv,sample/assay/measurement table,no,2026-07-21
datasets/harmonized/GSE254030_plasma_SOMAscan_assay_metadata.csv,sample/assay/measurement table,no,2026-07-21
datasets/harmonized/GSE254030_plasma_SOMAscan_geo_sample_metadata.csv,sample/assay/measurement table,no,2026-07-21
datasets/harmonized/GSE254030_plasma_SOMAscan_measurements_wide.csv.gz,sample/assay/measurement table,no,2026-07-21
datasets/harmonized/GSE254030_plasma_SOMAscan_sample_metadata.csv,sample/assay/measurement table,no,2026-07-21
datasets/harmonized/zenodo_dti_onset_12791948__DTI_Data_sharing__Demographics__MECFS-GO.csv,sample/assay/measurement table,no,2026-07-21
datasets/harmonized/zenodo_dti_onset_12791948__DTI_Data_sharing__Demographics__MECFS-GO_all_eligible.csv,sample/assay/measurement table,no,2026-07-21
datasets/harmonized/zenodo_dti_onset_12791948__DTI_Data_sharing__Demographics__MECFS-PI.csv,sample/assay/measurement table,no,2026-07-21
datasets/harmonized/zenodo_dti_onset_12791948__DTI_Data_sharing__Demographics__MECFS-PI_all_eligible.csv,sample/assay/measurement table,no,2026-07-21
datasets/harmonized/zenodo_dti_onset_12791948__archive_inventory.csv,archive inventory,no,2026-07-21
datasets/harmonized/zenodo_nii_dti_16916830__Demographics__MECFS.csv,sample/assay/measurement table,no,2026-07-21
datasets/harmonized/zenodo_nii_dti_16916830__archive_inventory.csv,archive inventory,no,2026-07-21
datasets/harmonized/zenodo_rrf_19078496__Demographics__MECFS.csv,sample/assay/measurement table,no,2026-07-21
datasets/harmonized/zenodo_rrf_19078496__archive_inventory.csv,archive inventory,no,2026-07-21
